Velocity,Voltage,Current,Q,T1,T2,T3,T4,T5,T6,Ts,Ta,A,h
2,60,0.7,42,36,51,50,53,55,39,47.33,23,0.000530929,32.50967743
2,60,0.7,42,36,52,51,53,55,39,47.67,23,0.000530929,32.06163162
2,60,0.7,42,37,52,52,54,56,41,48.67,23,0.000530929,30.81263934
2,60,0.7,42,37,53,52,54,57,40,48.83,23,0.000530929,30.62177514
2,60,0.7,42,36,53,53,55,59,41,49.5,23,0.000530929,29.84756423
2,60,0.7,42,37,54,53,55,58,40,49.5,23,0.000530929,29.84756423
2,60,0.7,42,37,54,54,56,58,40,49.83,23,0.000530929,29.4804492
2,60,0.7,42,37,54,54,56,58,40,49.83,23,0.000530929,29.4804492
2,60,0.7,42,37,55,54,56,59,40,50.17,23,0.000530929,29.11153669
2,60,0.7,42,37,55,54,57,59,40,50.33,23,0.000530929,28.94110691
2,60,0.7,42,37,55,55,57,61,41,51,23,0.000530929,28.24858757
2,60,0.7,42,37,56,55,58,60,41,51.17,23,0.000530929,28.07811331
2,60,0.7,42,37,56,58,58,60,41,51.67,23,0.000530929,27.58843572
2,60,0.7,42,37,57,56,59,61,41,51.83,23,0.000530929,27.43532612
2,60,0.7,42,37,57,56,59,62,41,52,23,0.000530929,27.27449834
2,60,0.7,42,37,57,57,59,62,41,52.17,23,0.000530929,27.11554515
2,60,0.7,42,37,57,57,60,63,42,52.67,23,0.000530929,26.65859292
2,60,0.7,42,37,58,57,60,65,42,53.17,23,0.000530929,26.21678661
2,60,0.7,42,38,58,58,61,63,42,53.33,23,0.000530929,26.07848506
2,60,0.7,42,37,58,58,62,65,43,53.83,23,0.000530929,25.65554499
2,60,0.7,42,37,59,61,64,66,43,55,23,0.000530929,24.71751412
2,60,0.7,42,37,59,62,65,67,43,55.5,23,0.000530929,24.33724468
2,60,0.7,42,37,59,61,64,67,43,55.17,23,0.000530929,24.58689624
2,60,0.7,42,37,61,62,65,67,44,56,23,0.000530929,23.96849854
2,80,0.8,64,38,65,66,72,70,45,59.33,23,0.000530929,33.17569694
2,80,0.8,64,38,66,67,69,71,44,59.17,23,0.000530929,33.32245147
2,80,0.8,64,38,68,66,70,72,44,59.67,23,0.000530929,32.86809571
2,80,0.8,64,38,68,67,71,72,45,60.17,23,0.000530929,32.42596367
2,80,0.8,64,38,66,68,71,73,45,60.17,23,0.000530929,32.42596367
2,80,0.8,64,38,67,67,70,73,45,60,23,0.000530929,32.57494783
2,80,0.8,64,38,67,66,70,73,45,59.83,23,0.000530929,32.72530735
2,80,0.8,64,38,66,67,71,74,45,60.17,23,0.000530929,32.42596367
2,80,0.8,64,39,67,67,71,75,46,60.83,23,0.000530929,31.86024504
2,80,0.8,64,38,68,68,72,77,46,61.5,23,0.000530929,31.30579402
2,80,0.8,64,38,69,69,73,79,48,62.67,23,0.000530929,30.38248222
2,80,0.8,64,39,70,70,74,78,49,63.33,23,0.000530929,29.88527324
2,80,0.8,64,39,70,71,75,79,46,63.33,23,0.000530929,29.88527324
2,80,0.8,64,39,71,71,75,80,47,63.83,23,0.000530929,29.51930124
2,80,0.8,64,39,71,72,76,80,47,64.17,23,0.000530929,29.27551785
2,80,0.8,64,39,72,72,77,80,47,64.5,23,0.000530929,29.04272457
2,80,0.8,64,39,72,73,77,81,47,64.83,23,0.000530929,28.81360434
2,80,0.8,64,39,72,73,77,81,48,65,23,0.000530929,28.69697785
2,80,0.8,64,39,73,73,78,84,48,65.83,23,0.000530929,28.14086084
2,80,0.8,64,39,73,74,79,83,48,66,23,0.000530929,28.02960627
2,80,0.8,64,39,73,73,78,83,48,65.67,23,0.000530929,28.24638082
2,80,0.8,64,39,73,74,79,84,49,66.33,23,0.000530929,27.81613362
2,80,0.8,64,40,73,75,78,83,49,66.33,23,0.000530929,27.81613362
2,80,0.8,64,40,75,74,79,83,48,66.5,23,0.000530929,27.70742689
2,80,0.8,64,41,75,76,80,84,49,67.5,23,0.000530929,27.08478808
2,100,1,100,39,87,92,63,88,52,70.17,23,0.000530929,39.92451074
2,100,1,100,39,88,77,82,88,49,70.5,23,0.000530929,39.64714045
2,100,1,100,39,80,78,85,90,49,70.17,23,0.000530929,39.92451074
2,100,1,100,39,81,80,85,91,51,71.17,23,0.000530929,39.09568552
2,100,1,100,39,82,82,87,94,51,72.5,23,0.000530929,38.04523579
2,100,1,100,40,84,84,89,95,52,74,23,0.000530929,36.92625826
2,100,1,100,43,85,91,95,85,46,74.17,23,0.000530929,36.80357966
2,100,1,100,42,86,92,90,89,46,74.17,23,0.000530929,36.80357966
2,100,1,100,42,87,92,92,87,46,74.33,23,0.000530929,36.68885976
2,100,1,100,40,85,87,93,99,53,76.17,23,0.000530929,35.41920578
2,100,1,100,41,88,89,95,101,54,78,23,0.000530929,34.24071221
2,100,1,100,42,84,91,97,99,57,78.33,23,0.000530929,34.03649325
2,100,1,100,42,85,91,97,100,58,78.83,23,0.000530929,33.73167063
2,100,1,100,43,86,92,99,101,57,79.67,23,0.000530929,33.23167763
2,100,1,100,41,89,90,95,103,55,78.83,23,0.000530929,33.73167063
2,100,1,100,41,90,91,97,104,56,79.83,23,0.000530929,33.13811669
2,100,1,100,42,91,92,98,106,56,80.83,23,0.000530929,32.56509029
2,100,1,100,42,87,92,99,102,57,79.83,23,0.000530929,33.13811669
2,100,1,100,42,87,92,99,102,57,79.83,23,0.000530929,33.13811669
2,100,1,100,42,88,92,99,103,58,80.33,23,0.000530929,32.84910468
2,100,1,100,42,88,93,99,105,58,80.83,23,0.000530929,32.56509029
2,100,1,100,43,89,95,101,105,58,81.83,23,0.000530929,32.01154464
2,100,1,100,42,92,94,99,106,57,81.67,23,0.000530929,32.0988439
2,100,1,100,42,93,96,103,108,57,83.17,23,0.000530929,31.29864004
2,100,1,100,42,84,91,96,97,57,77.83,23,0.000530929,34.34687528
2,120,1.1,132,40,81,82,90,98,53,74,23,0.000530929,48.74266091
